Yazar	Kitap	Durum
Paulo Coelho	Simyacı	0
Halil İnalcık	Osmanlı'da Devlet, Hukuk ve Adalet	0
Halil İnalcık	Osmanlı Tarihinde Efsaneler ve Gerçekler	0
Halil İnalcık	Osmanlı İmparatorluğu Klasik Çağ (1300-1600)	0
Halil İnalcık	Devlet-i Aliyye - Klasik Dönem (1302-1606) (Osmanlı İmparatorluğu Üzerine Araştırmalar 1)	0
Anthony Burgess	Otomatik Portakal	0
Jeffrey Eugenides	Middlesex	0
Thomas More	Utopia	0
Ray Bradbury	Fahrenheit 451	0
H. G. Wells	Zaman Makinesi	0
Jack London	Demir Ökçe	0
Yevgeni İvanoviç Zamyatin	Biz	0
Aldous Huxley	Ada	0
Aldous Huxley	Cesur Yeni Dünya	0
Daniel Kahneman	Hızlı ve Yavaş Düşünme	0
Alan Moore	Watchmen	0
Douglas Adams	Her Otostopçunun Galaksi Rehberi (Otostopçunun Galaksi Rehberi 1. Kitap)	0
James Joyce	Ulysses	0
Homeros	Odysseia	0
Homeros	İlyada	0
Friedrich Nietzsche	Kaderini Sev, Çünkü Aslında Hayatın Bu (Hayatı ve İnsanı Aşmanın Felsefesi)	0
Friedrich Nietzsche	Ahlakın Soykütüğü Üstüne	0
Friedrich Nietzsche	İnsanca, Pek İnsanca 1. Kitap	0
Friedrich Nietzsche	İyinin ve Kötünün Ötesinde	0
Friedrich Nietzsche	Böyle Söyledi Zerdüşt	0
Sabahattin Ali	İçimizdeki Şeytan	0
Ahmet Arslan	Felsefeye Giriş	0
Platon	Devlet	1
Jean-Paul Sartre	Aydınlar Üzerine	0
Jean-Paul Sartre	Varlık ve Hiçlik (Fenomenolojik Ontoloji Denemesi)	0
Jean-Paul Sartre	Sözcükler	0
Jean-Paul Sartre	Akıl Çağı (Özgürlük Yolları 1)	0
Jean-Paul Sartre	Varoluşçuluk	0
Jean-Paul Sartre	Duvar	0
Jean-Paul Sartre	Bulantı	0
Yuval Noah Harari	Homo Deus Yarının Kısa Bir Tarihi	0
Yuval Noah Harari	Hayvanlardan Tanrılara Sapiens (İnsan Türünün Kısa Bir Tarihi)	0
Yaşar Kemal	İnce Memed 4	0
Yaşar Kemalİnce Memed 3	0
Yaşar Kemalİnce Memed 2	0
Yaşar Kemalİnce Memed 1	0
George Orwell	Hayvan Çiftliği (Bir Peri Masalı)	0
George Orwell	1984	0
Yalın Alpay	Yalanın Siyaseti	0
John Steinbeck	Gazap Üzümleri	0
Honore de Balzac	Vadideki Zambak	0
Ernest Hemingway	Yaşlı Adam ve Deniz (İhtiyar Balıkçı - Bütün Eserleri 1)	0
Gustave Flaubert	Madame Bovary	0
Lev Nikolayeviç Tolstoy	Diriliş	0
Charles Dickens	İki Şehrin Hikâyesi	0
Franz Kafka	Dönüşüm	0
Lev Nikolayeviç Tolstoy	Savaş ve Barış (2 Cilt Takım)	0
Umberto Eco	Gülün Adı	0
Johann Wolfgang Von Goethe	Faust	0
Johann Wolfgang Von Goethe	Genç Werther'in Acıları	0
William Shakespeare	Othello	0
William Shakespeare	Macbeth	0
William Shakespeare	Hamlet	0
James Joyce	Dublinliler	0
Fyodor Mihayloviç Dostoyevski	Budala	0
Fyodor Mihayloviç Dostoyevski	Karamazov Kardeşler	0
Fyodor Mihayloviç Dostoyevski	Yeraltından Notlar	0
Fyodor Mihayloviç Dostoyevski	Suç ve Ceza	0
Sabahattin Ali	Kürk Mantolu Madonna	0
Victor Hugo	Sefiller (2 Cilt Takım)	0
Homeros	Odüsseia - Cilt 1 (Odise)	0
Victor Hugo	Sefiller	0

